_id,id_collab,id_user_collab,id_user,date,hour,feedback,table
1,1,283,148,2024-07-04,09:00,1,10
2,1,283,183,2024-07-04,09:45,4,23
3,1,266,211,2024-07-04,10:30,3,2
4,1,294,108,2024-07-04,11:15,3,30
5,1,287,131,2024-07-04,12:00,5,7
6,1,279,158,2024-07-04,12:45,1,26
7,1,274,50,2024-07-04,13:30,1,28
8,1,279,233,2024-07-04,14:15,5,1
9,1,283,103,2024-07-04,15:00,4,9
10,1,296,151,2024-07-04,15:45,5,19
11,1,279,35,2024-07-04,16:30,3,30
12,1,279,49,2024-07-04,17:15,1,5
13,1,299,110,2024-07-05,09:00,1,25
14,1,283,78,2024-07-05,09:45,1,23
15,1,289,180,2024-07-05,10:30,1,15
16,1,294,216,2024-07-05,11:15,2,5
17,1,279,30,2024-07-05,12:00,3,14
18,1,298,210,2024-07-05,12:45,4,11
19,2,273,25,2024-07-04,09:00,5,17
20,2,295,181,2024-07-04,09:45,4,6
21,2,273,13,2024-07-04,10:30,5,21
22,2,278,5,2024-07-04,11:15,2,24
23,2,292,234,2024-07-04,12:00,5,5
24,2,273,238,2024-07-05,09:00,3,23
25,2,295,131,2024-07-05,09:45,5,18
26,2,292,102,2024-07-05,10:30,2,9
27,2,270,244,2024-07-05,11:15,2,9
28,2,277,21,2024-07-05,12:00,4,9
29,3,282,181,2024-07-04,09:00,3,4
30,3,282,205,2024-07-04,09:45,4,9
31,3,282,174,2024-07-04,10:30,2,15
32,3,269,46,2024-07-04,11:15,3,23
33,3,280,185,2024-07-04,12:00,3,9
34,3,275,145,2024-07-05,09:00,4,27
35,3,271,65,2024-07-05,09:45,2,29
36,3,272,88,2024-07-05,10:30,4,27
37,3,291,32,2024-07-05,11:15,4,20
38,3,272,263,2024-07-05,12:00,2,2
39,1,290,179,2024-07-04,09:00,2,11
40,1,283,161,2024-07-04,09:45,1,11
41,1,266,57,2024-07-04,10:30,5,10
42,1,279,124,2024-07-04,11:15,3,12
43,1,294,158,2024-07-04,12:00,3,18
44,1,296,2,2024-07-04,12:45,5,11
45,1,274,148,2024-07-04,13:30,4,1
46,1,279,19,2024-07-04,14:15,5,22
47,1,289,3,2024-07-04,15:00,5,25
48,1,287,27,2024-07-04,15:45,3,26
49,1,274,94,2024-07-04,16:30,4,8
50,1,296,121,2024-07-04,17:15,4,25
51,1,294,163,2024-07-05,09:00,1,24
52,1,279,55,2024-07-05,09:45,1,7
53,1,289,184,2024-07-05,10:30,5,8
54,1,274,122,2024-07-05,11:15,3,18
55,1,296,204,2024-07-05,12:00,3,16
56,1,274,39,2024-07-05,12:45,2,16
57,2,273,179,2024-07-04,09:00,1,22
58,2,293,201,2024-07-04,09:45,1,3
59,2,268,229,2024-07-04,10:30,2,15
60,2,273,168,2024-07-04,11:15,3,12
61,2,270,229,2024-07-04,12:00,4,20
62,2,273,93,2024-07-05,09:00,4,9
63,2,295,104,2024-07-05,09:45,5,5
64,2,288,32,2024-07-05,10:30,3,15
65,2,270,183,2024-07-05,11:15,3,24
66,2,268,198,2024-07-05,12:00,5,16
67,3,275,242,2024-07-04,09:00,3,9
68,3,282,12,2024-07-04,09:45,3,12
69,3,280,240,2024-07-04,10:30,5,17
70,3,285,13,2024-07-04,11:15,5,15
71,3,280,236,2024-07-04,12:00,5,16
72,3,281,33,2024-07-05,09:00,5,23
73,3,285,79,2024-07-05,09:45,1,11
74,3,271,1,2024-07-05,10:30,5,23
75,3,286,53,2024-07-05,11:15,1,16
76,3,282,77,2024-07-05,12:00,2,15
77,1,287,224,2024-07-04,09:00,5,3
78,1,266,65,2024-07-04,09:45,5,6
79,1,297,84,2024-07-04,10:30,2,17
80,1,298,157,2024-07-04,11:15,5,3
81,1,294,22,2024-07-04,12:00,5,26
82,1,296,173,2024-07-04,12:45,1,29
83,1,274,129,2024-07-04,13:30,5,7
84,1,279,211,2024-07-04,14:15,5,1
85,1,290,70,2024-07-04,15:00,3,11
86,1,287,153,2024-07-04,15:45,4,22
87,1,296,54,2024-07-04,16:30,4,9
88,1,289,17,2024-07-04,17:15,4,28
89,1,296,182,2024-07-05,09:00,3,8
90,1,296,243,2024-07-05,09:45,2,3
91,1,299,263,2024-07-05,10:30,4,18
92,1,279,140,2024-07-05,11:15,4,12
93,1,297,213,2024-07-05,12:00,2,14
94,1,290,68,2024-07-05,12:45,5,27
95,2,277,229,2024-07-04,09:00,5,12
96,2,270,228,2024-07-04,09:45,3,12
97,2,276,117,2024-07-04,10:30,1,27
98,2,277,42,2024-07-04,11:15,2,7
99,2,278,183,2024-07-04,12:00,4,19
100,2,267,162,2024-07-05,09:00,3,3
101,2,270,34,2024-07-05,09:45,2,1
102,2,277,138,2024-07-05,10:30,4,26
103,2,277,224,2024-07-05,11:15,3,12
104,2,270,177,2024-07-05,12:00,4,21
105,3,300,77,2024-07-04,09:00,1,11
106,3,269,40,2024-07-04,09:45,2,19
107,3,291,152,2024-07-04,10:30,2,27
108,3,300,249,2024-07-04,11:15,3,2
109,3,272,153,2024-07-04,12:00,3,28
110,3,280,72,2024-07-05,09:00,2,8
111,3,282,57,2024-07-05,09:45,2,5
112,3,282,62,2024-07-05,10:30,2,20
113,3,272,61,2024-07-05,11:15,4,21
114,3,280,65,2024-07-05,12:00,2,23
115,1,299,142,2024-07-04,09:00,3,22
116,1,283,109,2024-07-04,09:45,1,5
117,1,287,150,2024-07-04,10:30,1,25
118,1,287,234,2024-07-04,11:15,2,29
119,1,290,32,2024-07-04,12:00,2,14
120,1,296,38,2024-07-04,12:45,5,17
121,1,297,69,2024-07-04,13:30,4,5
122,1,299,98,2024-07-04,14:15,2,25
123,1,283,63,2024-07-04,15:00,2,24
124,1,294,25,2024-07-04,15:45,5,6
125,1,283,190,2024-07-04,16:30,2,4
126,1,283,52,2024-07-04,17:15,1,10
127,1,298,200,2024-07-05,09:00,1,11
128,1,290,263,2024-07-05,09:45,4,25
129,1,298,158,2024-07-05,10:30,4,19
130,1,297,131,2024-07-05,11:15,2,8
131,1,299,3,2024-07-05,12:00,1,4
132,1,298,77,2024-07-05,12:45,1,16
133,2,273,60,2024-07-04,09:00,3,27
134,2,278,265,2024-07-04,09:45,3,5
135,2,284,221,2024-07-04,10:30,3,12
136,2,293,160,2024-07-04,11:15,5,21
137,2,295,258,2024-07-04,12:00,3,26
138,2,273,131,2024-07-05,09:00,1,21
139,2,270,109,2024-07-05,09:45,5,21
140,2,293,32,2024-07-05,10:30,4,12
141,2,295,15,2024-07-05,11:15,2,12
142,2,277,43,2024-07-05,12:00,1,24
143,3,271,156,2024-07-04,09:00,4,22
144,3,280,208,2024-07-04,09:45,4,22
145,3,271,156,2024-07-04,10:30,5,22
146,3,300,129,2024-07-04,11:15,4,26
147,3,275,176,2024-07-04,12:00,5,16
148,3,291,240,2024-07-05,09:00,4,25
149,3,282,111,2024-07-05,09:45,1,26
150,3,280,20,2024-07-05,10:30,3,2
151,3,272,163,2024-07-05,11:15,2,6
152,3,275,48,2024-07-05,12:00,5,12
153,1,297,260,2024-07-04,09:00,2,8
154,1,296,182,2024-07-04,09:45,1,11
155,1,297,190,2024-07-04,10:30,1,29
156,1,283,126,2024-07-04,11:15,2,13
157,1,279,159,2024-07-04,12:00,3,24
158,1,294,23,2024-07-04,12:45,1,4
159,1,298,113,2024-07-04,13:30,1,29
160,1,299,262,2024-07-04,14:15,3,6
161,1,294,172,2024-07-04,15:00,2,30
162,1,266,64,2024-07-04,15:45,1,29
163,1,290,121,2024-07-04,16:30,1,2
164,1,274,233,2024-07-04,17:15,2,2
165,1,279,50,2024-07-05,09:00,5,15
166,1,287,215,2024-07-05,09:45,3,4
167,1,290,58,2024-07-05,10:30,5,5
168,1,287,163,2024-07-05,11:15,5,29
169,1,297,50,2024-07-05,12:00,3,28
170,1,289,160,2024-07-05,12:45,2,28
171,2,267,196,2024-07-04,09:00,5,23
172,2,284,84,2024-07-04,09:45,3,17
173,2,295,81,2024-07-04,10:30,2,2
174,2,293,104,2024-07-04,11:15,5,24
175,2,295,241,2024-07-04,12:00,2,28
176,2,277,45,2024-07-05,09:00,2,2
177,2,293,56,2024-07-05,09:45,3,17
178,2,293,234,2024-07-05,10:30,4,13
179,2,278,105,2024-07-05,11:15,5,4
180,2,276,165,2024-07-05,12:00,2,30
181,3,275,113,2024-07-04,09:00,2,12
182,3,281,71,2024-07-04,09:45,1,14
183,3,280,220,2024-07-04,10:30,3,30
184,3,281,162,2024-07-04,11:15,5,27
185,3,275,210,2024-07-04,12:00,2,2
186,3,300,111,2024-07-05,09:00,3,13
187,3,271,58,2024-07-05,09:45,5,3
188,3,291,1,2024-07-05,10:30,3,18
189,3,272,38,2024-07-05,11:15,1,6
190,3,271,196,2024-07-05,12:00,1,29
191,1,296,172,2024-07-04,09:00,3,30
192,1,299,195,2024-07-04,09:45,4,20
193,1,294,175,2024-07-04,10:30,3,7
194,1,296,13,2024-07-04,11:15,1,12
195,1,296,53,2024-07-04,12:00,2,14
196,1,289,255,2024-07-04,12:45,4,3
197,1,294,176,2024-07-04,13:30,1,7
198,1,299,6,2024-07-04,14:15,4,29
199,1,279,220,2024-07-04,15:00,2,12
200,1,283,207,2024-07-04,15:45,3,4
201,1,297,68,2024-07-04,16:30,4,16
202,1,274,234,2024-07-04,17:15,4,3
203,1,298,17,2024-07-05,09:00,1,11
204,1,296,15,2024-07-05,09:45,4,29
205,1,283,21,2024-07-05,10:30,3,2
206,1,299,207,2024-07-05,11:15,3,3
207,1,279,33,2024-07-05,12:00,5,13
208,1,290,167,2024-07-05,12:45,1,9
209,2,284,237,2024-07-04,09:00,4,10
210,2,292,231,2024-07-04,09:45,3,24
211,2,277,156,2024-07-04,10:30,3,10
212,2,278,39,2024-07-04,11:15,3,1
213,2,295,118,2024-07-04,12:00,5,26
214,2,273,25,2024-07-05,09:00,5,22
215,2,276,203,2024-07-05,09:45,1,29
216,2,270,188,2024-07-05,10:30,4,17
217,2,268,26,2024-07-05,11:15,4,24
218,2,292,26,2024-07-05,12:00,2,24
219,3,280,255,2024-07-04,09:00,2,24
220,3,282,244,2024-07-04,09:45,2,29
221,3,272,87,2024-07-04,10:30,5,15
222,3,272,265,2024-07-04,11:15,1,16
223,3,282,5,2024-07-04,12:00,2,12
224,3,282,144,2024-07-05,09:00,2,29
225,3,275,201,2024-07-05,09:45,4,2
226,3,275,95,2024-07-05,10:30,5,27
227,3,285,208,2024-07-05,11:15,5,10
228,3,291,156,2024-07-05,12:00,5,6
229,1,274,48,2024-07-04,09:00,4,5
230,1,279,142,2024-07-04,09:45,4,16
231,1,297,20,2024-07-04,10:30,3,21
232,1,297,168,2024-07-04,11:15,5,9
233,1,287,141,2024-07-04,12:00,5,16
234,1,287,131,2024-07-04,12:45,4,4
235,1,283,242,2024-07-04,13:30,1,4
236,1,283,68,2024-07-04,14:15,5,13
237,1,283,200,2024-07-04,15:00,1,5
238,1,298,161,2024-07-04,15:45,3,4
239,1,294,204,2024-07-04,16:30,4,9
240,1,294,156,2024-07-04,17:15,5,6
241,1,274,61,2024-07-05,09:00,1,12
242,1,294,193,2024-07-05,09:45,5,13
243,1,287,263,2024-07-05,10:30,2,11
244,1,283,176,2024-07-05,11:15,2,7
245,1,289,188,2024-07-05,12:00,3,16
246,1,297,257,2024-07-05,12:45,4,14
247,2,278,230,2024-07-04,09:00,4,24
248,2,295,246,2024-07-04,09:45,4,6
249,2,278,161,2024-07-04,10:30,2,2
250,2,278,99,2024-07-04,11:15,5,15
251,2,273,252,2024-07-04,12:00,5,8
252,2,278,159,2024-07-05,09:00,1,18
253,2,288,249,2024-07-05,09:45,2,25
254,2,288,68,2024-07-05,10:30,5,25
255,2,292,188,2024-07-05,11:15,3,21
256,2,273,196,2024-07-05,12:00,2,2
257,3,272,199,2024-07-04,09:00,5,28
258,3,271,179,2024-07-04,09:45,5,1
259,3,300,97,2024-07-04,10:30,1,30
260,3,286,236,2024-07-04,11:15,2,16
261,3,286,170,2024-07-04,12:00,1,18
262,3,281,114,2024-07-05,09:00,1,15
263,3,282,86,2024-07-05,09:45,4,26
264,3,271,14,2024-07-05,10:30,2,25
265,3,271,85,2024-07-05,11:15,4,14
266,3,282,94,2024-07-05,12:00,2,28
267,1,279,47,2024-07-04,09:00,1,17
268,1,290,163,2024-07-04,09:45,3,1
269,1,299,238,2024-07-04,10:30,4,22
270,1,296,194,2024-07-04,11:15,2,24
271,1,298,166,2024-07-04,12:00,2,4
272,1,296,193,2024-07-04,12:45,5,1
273,1,298,141,2024-07-04,13:30,4,9
274,1,289,58,2024-07-04,14:15,3,15
275,1,266,46,2024-07-04,15:00,1,25
276,1,296,239,2024-07-04,15:45,3,30
277,1,287,216,2024-07-04,16:30,1,22
278,1,298,27,2024-07-04,17:15,3,11
279,1,299,69,2024-07-05,09:00,2,27
280,1,294,156,2024-07-05,09:45,5,30
281,1,283,223,2024-07-05,10:30,3,21
282,1,299,87,2024-07-05,11:15,4,9
283,1,289,265,2024-07-05,12:00,5,26
284,1,287,116,2024-07-05,12:45,4,3
285,2,278,101,2024-07-04,09:00,1,1
286,2,284,262,2024-07-04,09:45,2,22
287,2,277,100,2024-07-04,10:30,5,7
288,2,295,252,2024-07-04,11:15,5,10
289,2,267,177,2024-07-04,12:00,2,22
290,2,268,182,2024-07-05,09:00,4,7
291,2,288,193,2024-07-05,09:45,5,4
292,2,267,100,2024-07-05,10:30,3,24
293,2,273,168,2024-07-05,11:15,2,4
294,2,278,158,2024-07-05,12:00,4,30
295,3,285,3,2024-07-04,09:00,2,12
296,3,275,68,2024-07-04,09:45,3,25
297,3,281,13,2024-07-04,10:30,3,1
298,3,285,176,2024-07-04,11:15,3,15
299,3,285,228,2024-07-04,12:00,1,17
300,3,271,150,2024-07-05,09:00,3,6
301,3,271,240,2024-07-05,09:45,4,30
302,3,282,184,2024-07-05,10:30,4,19
303,3,280,188,2024-07-05,11:15,5,8
304,3,285,180,2024-07-05,12:00,4,15
305,1,266,209,2024-07-04,09:00,3,11
306,1,296,145,2024-07-04,09:45,1,14
307,1,287,57,2024-07-04,10:30,3,18
308,1,266,236,2024-07-04,11:15,5,14
309,1,294,124,2024-07-04,12:00,4,9
310,1,296,192,2024-07-04,12:45,5,21
311,1,287,170,2024-07-04,13:30,2,27
312,1,298,140,2024-07-04,14:15,3,27
313,1,279,64,2024-07-04,15:00,5,4
314,1,289,97,2024-07-04,15:45,4,11
315,1,283,167,2024-07-04,16:30,4,21
316,1,274,30,2024-07-04,17:15,4,12
317,1,290,252,2024-07-05,09:00,4,4
318,1,289,40,2024-07-05,09:45,5,9
319,1,297,262,2024-07-05,10:30,1,2
320,1,289,171,2024-07-05,11:15,1,9
321,1,274,163,2024-07-05,12:00,3,23
322,1,290,101,2024-07-05,12:45,1,25
323,2,295,232,2024-07-04,09:00,1,25
324,2,277,7,2024-07-04,09:45,3,3
325,2,273,103,2024-07-04,10:30,4,5
326,2,270,68,2024-07-04,11:15,5,15
327,2,293,85,2024-07-04,12:00,5,2
328,2,295,227,2024-07-05,09:00,4,18
329,2,273,166,2024-07-05,09:45,1,8
330,2,273,158,2024-07-05,10:30,4,27
331,2,292,227,2024-07-05,11:15,4,23
332,2,288,198,2024-07-05,12:00,2,19
333,3,280,103,2024-07-04,09:00,3,19
334,3,272,244,2024-07-04,09:45,3,11
335,3,291,75,2024-07-04,10:30,3,11
336,3,285,135,2024-07-04,11:15,3,22
337,3,281,153,2024-07-04,12:00,1,1
338,3,285,111,2024-07-05,09:00,5,7
339,3,285,80,2024-07-05,09:45,2,7
340,3,281,255,2024-07-05,10:30,1,21
341,3,271,67,2024-07-05,11:15,2,6
342,3,286,206,2024-07-05,12:00,2,7
343,1,294,85,2024-07-04,09:00,3,16
344,1,279,142,2024-07-04,09:45,1,7
345,1,298,183,2024-07-04,10:30,5,10
346,1,297,102,2024-07-04,11:15,4,18
347,1,279,238,2024-07-04,12:00,1,18
348,1,290,217,2024-07-04,12:45,5,9
349,1,290,7,2024-07-04,13:30,4,21
350,1,266,75,2024-07-04,14:15,2,1
351,1,294,259,2024-07-04,15:00,1,23
352,1,290,245,2024-07-04,15:45,1,17
353,1,266,147,2024-07-04,16:30,1,3
354,1,279,151,2024-07-04,17:15,2,13
355,1,297,231,2024-07-05,09:00,1,20
356,1,283,129,2024-07-05,09:45,2,17
357,1,287,187,2024-07-05,10:30,3,21
358,1,274,34,2024-07-05,11:15,5,28
359,1,279,150,2024-07-05,12:00,4,6
360,1,294,219,2024-07-05,12:45,4,29
361,2,270,161,2024-07-04,09:00,3,13
362,2,276,35,2024-07-04,09:45,1,15
363,2,267,153,2024-07-04,10:30,4,4
364,2,288,194,2024-07-04,11:15,5,9
365,2,277,204,2024-07-04,12:00,4,4
366,2,292,178,2024-07-05,09:00,5,25
367,2,293,53,2024-07-05,09:45,3,10
368,2,293,96,2024-07-05,10:30,4,16
369,2,276,111,2024-07-05,11:15,1,2
370,2,273,195,2024-07-05,12:00,4,7
371,3,275,177,2024-07-04,09:00,1,15
372,3,271,167,2024-07-04,09:45,1,23
373,3,269,89,2024-07-04,10:30,2,19
374,3,272,220,2024-07-04,11:15,2,4
375,3,291,107,2024-07-04,12:00,1,27
376,3,272,165,2024-07-05,09:00,2,17
377,3,275,242,2024-07-05,09:45,4,23
378,3,281,144,2024-07-05,10:30,4,24
379,3,300,95,2024-07-05,11:15,3,27
380,3,282,169,2024-07-05,12:00,5,3
381,1,287,62,2024-07-04,09:00,3,15
382,1,266,173,2024-07-04,09:45,4,28
383,1,289,108,2024-07-04,10:30,3,21
384,1,279,146,2024-07-04,11:15,1,19
385,1,283,68,2024-07-04,12:00,4,20
386,1,290,26,2024-07-04,12:45,1,9
387,1,289,109,2024-07-04,13:30,4,14
388,1,289,215,2024-07-04,14:15,5,16
389,1,297,93,2024-07-04,15:00,2,23
390,1,294,144,2024-07-04,15:45,4,24
391,1,279,208,2024-07-04,16:30,4,15
392,1,294,242,2024-07-04,17:15,3,15
393,1,299,244,2024-07-05,09:00,2,20
394,1,299,249,2024-07-05,09:45,3,6
395,1,283,195,2024-07-05,10:30,1,19
396,1,297,66,2024-07-05,11:15,5,4
397,1,289,62,2024-07-05,12:00,3,14
398,1,283,131,2024-07-05,12:45,3,17
399,2,268,250,2024-07-04,09:00,1,7
400,2,278,73,2024-07-04,09:45,5,27
401,2,293,255,2024-07-04,10:30,1,9
402,2,295,250,2024-07-04,11:15,4,25
403,2,267,251,2024-07-04,12:00,5,7
404,2,276,17,2024-07-05,09:00,1,28
405,2,284,20,2024-07-05,09:45,2,30
406,2,292,35,2024-07-05,10:30,4,12
407,2,273,244,2024-07-05,11:15,5,11
408,2,293,15,2024-07-05,12:00,2,21
409,3,291,122,2024-07-04,09:00,1,27
410,3,285,100,2024-07-04,09:45,5,25
411,3,280,131,2024-07-04,10:30,3,8
412,3,269,236,2024-07-04,11:15,5,22
413,3,300,254,2024-07-04,12:00,3,24
414,3,300,253,2024-07-05,09:00,5,22
415,3,282,201,2024-07-05,09:45,5,17
416,3,285,55,2024-07-05,10:30,3,30
417,3,291,157,2024-07-05,11:15,4,3
418,3,300,89,2024-07-05,12:00,1,6
419,1,287,7,2024-07-04,09:00,4,22
420,1,287,201,2024-07-04,09:45,2,24
421,1,266,83,2024-07-04,10:30,3,30
422,1,290,35,2024-07-04,11:15,5,6
423,1,266,60,2024-07-04,12:00,5,24
424,1,279,129,2024-07-04,12:45,5,13
425,1,296,215,2024-07-04,13:30,1,28
426,1,296,25,2024-07-04,14:15,3,9
427,1,274,22,2024-07-04,15:00,1,20
428,1,294,132,2024-07-04,15:45,3,28
429,1,296,156,2024-07-04,16:30,5,10
430,1,289,134,2024-07-04,17:15,1,20
431,1,287,81,2024-07-05,09:00,4,27
432,1,298,18,2024-07-05,09:45,2,22
433,1,294,196,2024-07-05,10:30,3,12
434,1,290,243,2024-07-05,11:15,3,24
435,1,294,93,2024-07-05,12:00,1,1
436,1,298,23,2024-07-05,12:45,4,28
437,2,292,237,2024-07-04,09:00,2,29
438,2,276,210,2024-07-04,09:45,4,3
439,2,284,137,2024-07-04,10:30,2,19
440,2,273,87,2024-07-04,11:15,4,22
441,2,293,262,2024-07-04,12:00,1,27
442,2,270,41,2024-07-05,09:00,2,24
443,2,277,122,2024-07-05,09:45,3,16
444,2,268,166,2024-07-05,10:30,1,15
445,2,276,187,2024-07-05,11:15,2,1
446,2,270,222,2024-07-05,12:00,1,18
447,3,291,126,2024-07-04,09:00,2,10
448,3,280,169,2024-07-04,09:45,3,14
449,3,275,25,2024-07-04,10:30,4,3
450,3,275,22,2024-07-04,11:15,1,11
451,3,300,68,2024-07-04,12:00,2,23
452,3,272,108,2024-07-05,09:00,4,9
453,3,271,230,2024-07-05,09:45,3,1
454,3,281,122,2024-07-05,10:30,3,15
455,3,282,41,2024-07-05,11:15,1,30
456,3,291,245,2024-07-05,12:00,2,25
457,1,290,244,2024-07-04,09:00,4,23
458,1,287,4,2024-07-04,09:45,2,8
459,1,266,79,2024-07-04,10:30,3,11
460,1,294,197,2024-07-04,11:15,3,5
461,1,283,229,2024-07-04,12:00,2,27
462,1,274,11,2024-07-04,12:45,4,16
463,1,274,30,2024-07-04,13:30,5,10
464,1,298,152,2024-07-04,14:15,4,5
465,1,279,226,2024-07-04,15:00,5,15
466,1,290,189,2024-07-04,15:45,1,8
467,1,296,101,2024-07-04,16:30,4,13
468,1,290,123,2024-07-04,17:15,1,21
469,1,283,32,2024-07-05,09:00,2,1
470,1,294,191,2024-07-05,09:45,4,25
471,1,290,80,2024-07-05,10:30,1,14
472,1,266,12,2024-07-05,11:15,3,26
473,1,298,85,2024-07-05,12:00,1,7
474,1,289,77,2024-07-05,12:45,5,4
475,2,273,18,2024-07-04,09:00,5,11
476,2,278,184,2024-07-04,09:45,5,18
477,2,295,146,2024-07-04,10:30,2,21
478,2,273,8,2024-07-04,11:15,5,29
479,2,273,53,2024-07-04,12:00,5,18
480,2,270,2,2024-07-05,09:00,4,30
481,2,267,161,2024-07-05,09:45,3,3
482,2,270,19,2024-07-05,10:30,1,23
483,2,270,163,2024-07-05,11:15,2,19
484,2,295,12,2024-07-05,12:00,5,5
485,3,271,169,2024-07-04,09:00,5,22
486,3,282,254,2024-07-04,09:45,5,20
487,3,280,51,2024-07-04,10:30,1,8
488,3,291,33,2024-07-04,11:15,5,7
489,3,280,222,2024-07-04,12:00,2,27
490,3,286,198,2024-07-05,09:00,1,7
491,3,281,249,2024-07-05,09:45,3,11
492,3,280,264,2024-07-05,10:30,4,3
493,3,275,121,2024-07-05,11:15,3,9
494,3,275,228,2024-07-05,12:00,2,25
495,1,287,4,2024-07-04,09:00,5,21
496,1,296,212,2024-07-04,09:45,1,10
497,1,279,131,2024-07-04,10:30,1,3
498,1,274,25,2024-07-04,11:15,3,18
499,1,290,135,2024-07-04,12:00,5,4
500,1,287,83,2024-07-04,12:45,1,12
501,1,294,161,2024-07-04,13:30,3,2
502,1,274,47,2024-07-04,14:15,5,28
503,1,296,32,2024-07-04,15:00,1,6
504,1,296,246,2024-07-04,15:45,4,14
505,1,294,56,2024-07-04,16:30,3,4
506,1,287,4,2024-07-04,17:15,3,14
507,1,290,167,2024-07-05,09:00,5,4
508,1,299,28,2024-07-05,09:45,4,23
509,1,274,132,2024-07-05,10:30,2,19
510,1,290,32,2024-07-05,11:15,3,11
511,1,287,156,2024-07-05,12:00,5,29
512,1,279,143,2024-07-05,12:45,2,13
513,2,293,68,2024-07-04,09:00,5,5
514,2,292,261,2024-07-04,09:45,4,22
515,2,277,254,2024-07-04,10:30,5,20
516,2,270,26,2024-07-04,11:15,5,7
517,2,278,191,2024-07-04,12:00,5,5
518,2,278,146,2024-07-05,09:00,2,20
519,2,292,251,2024-07-05,09:45,4,26
520,2,278,222,2024-07-05,10:30,1,5
521,2,295,240,2024-07-05,11:15,1,20
522,2,267,169,2024-07-05,12:00,2,19
523,3,286,99,2024-07-04,09:00,3,18
524,3,271,207,2024-07-04,09:45,5,23
525,3,271,183,2024-07-04,10:30,3,28
526,3,282,179,2024-07-04,11:15,3,14
527,3,271,223,2024-07-04,12:00,4,13
528,3,291,151,2024-07-05,09:00,3,13
529,3,285,200,2024-07-05,09:45,5,17
530,3,271,119,2024-07-05,10:30,4,21
531,3,275,221,2024-07-05,11:15,1,18
532,3,271,189,2024-07-05,12:00,1,4
533,1,266,106,2024-07-04,09:00,4,28
534,1,289,179,2024-07-04,09:45,4,20
535,1,274,179,2024-07-04,10:30,2,30
536,1,298,259,2024-07-04,11:15,3,5
537,1,289,64,2024-07-04,12:00,4,29
538,1,296,47,2024-07-04,12:45,4,24
539,1,289,103,2024-07-04,13:30,5,9
540,1,274,163,2024-07-04,14:15,3,2
